Date,High,Low,Open,Close,Volume
2020-01-01,329.0,301.0,321.5,310.0,155050.0
2020-01-08,310.5,290.0,305.0,292.5,320727.0
2020-01-15,310.0,285.0,293.0,305.5,345433.0
2020-01-22,307.0,280.0,302.0,293.5,189681.0
2020-01-29,301.0,263.0,296.0,264.5,823753.0
2020-02-05,280.0,257.0,265.0,272.5,1359715.0
2020-02-12,308.0,270.5,275.0,299.5,943241.0
2020-02-19,308.5,289.0,297.5,305.0,247318.0
2020-02-26,305.0,264.0,298.0,293.0,242448.0
2020-03-04,302.0,260.0,295.0,282.0,301018.0
2020-03-11,285.0,232.0,275.0,263.5,425620.0
2020-03-18,259.0,228.0,255.0,240.0,218074.0
2020-03-25,255.0,227.5,244.0,235.0,360667.0
2020-04-01,239.0,225.0,235.0,230.0,676125.0
2020-04-08,264.5,228.0,231.0,263.5,620968.0
2020-04-15,287.5,251.0,260.5,287.0,401007.0
2020-04-22,292.0,262.5,288.0,289.0,325413.0
2020-04-29,298.0,268.0,292.0,275.0,249096.0
2020-05-06,319.5,276.0,276.5,314.5,1098107.0
2020-05-13,401.0,305.0,313.0,391.0,580968.0
2020-05-20,406.0,382.0,403.0,391.0,695534.0
2020-05-27,400.0,364.0,398.0,396.0,307662.0
2020-06-03,411.0,384.0,400.0,388.5,515434.0
2020-06-10,395.5,369.0,390.0,391.0,161829.0
2020-06-17,396.0,370.0,395.0,392.5,251450.0
2020-06-24,400.0,370.0,393.0,379.5,144876.0
2020-07-01,423.5,370.0,380.0,413.5,321469.0
2020-07-08,430.0,407.0,415.0,430.0,245259.0
2020-07-15,457.0,415.0,431.0,445.0,268345.0
2020-07-22,492.0,439.0,449.0,462.0,588858.0
2020-07-29,540.0,450.0,463.0,533.0,446483.0
2020-08-05,551.0,519.5,538.0,528.0,341971.0
2020-08-12,533.5,472.0,533.5,480.0,300885.0
2020-08-19,524.0,464.0,480.0,515.5,374519.0
2020-08-26,574.0,517.0,520.5,557.0,383271.0
2020-09-02,600.0,515.0,555.0,599.0,203289.0
2020-09-09,628.0,548.0,595.0,576.5,312451.0
2020-09-16,573.0,470.0,573.0,490.0,589014.0
2020-09-23,545.0,472.0,490.0,526.5,226117.0
2020-09-30,545.0,491.0,526.5,528.5,268305.0
2020-10-07,540.0,515.0,517.0,529.0,158029.0
2020-10-14,555.0,500.0,530.0,540.5,439539.0
2020-10-21,575.0,520.0,545.0,531.0,1687888.0
2020-10-28,564.0,485.0,529.0,557.5,573992.0
2020-11-04,579.0,531.5,560.0,577.0,186421.0
2020-11-11,624.0,567.5,580.0,616.0,381149.0
2020-11-18,622.0,592.0,615.0,600.0,142588.0
2020-11-24,612.0,595.0,605.0,610.0,44715.0
