Date,High,Low,Open,Close,Volume
2020-01-01,342.0,305.0,305.0,312.5,235762.0
2020-01-08,393.5,310.5,320.0,376.0,207564.0
2020-01-15,444.5,380.0,380.0,397.5,247264.0
2020-01-22,411.0,345.0,399.5,380.5,108072.0
2020-01-29,398.0,355.0,389.0,380.0,77557.0
2020-02-05,384.5,335.0,384.0,348.5,42568.0
2020-02-12,365.0,320.0,349.0,324.0,33724.0
2020-02-19,335.0,315.0,323.0,320.5,17229.0
2020-02-26,358.0,293.5,314.0,332.5,45936.0
2020-03-04,350.5,268.5,340.0,314.0,61300.0
2020-03-11,315.0,241.25,315.0,271.0,59679.0
2020-03-18,272.0,210.0,271.0,239.0,36693.0
2020-03-25,272.0,242.0,246.5,262.5,40931.0
2020-04-01,357.0,258.0,261.0,321.0,89393.0
2020-04-08,337.0,295.5,316.0,327.0,73000.0
2020-04-15,401.0,302.5,326.5,378.0,172574.0
2020-04-22,409.0,336.0,380.5,406.0,128855.0
2020-04-29,415.0,365.5,408.0,392.5,58608.0
2020-05-06,420.0,381.5,392.5,402.5,115788.0
2020-05-13,410.0,380.5,400.0,388.0,61545.0
2020-05-20,430.0,351.0,388.0,416.0,97887.0
2020-05-27,429.0,374.0,416.0,421.5,190036.0
2020-06-03,479.0,400.0,422.0,451.0,152526.0
2020-06-10,475.0,400.0,450.0,449.0,81414.0
2020-06-17,456.0,373.5,456.0,410.0,124928.0
2020-06-24,414.5,386.0,411.0,409.5,50269.0
2020-07-01,487.0,410.0,411.5,467.0,118008.0
2020-07-08,479.5,441.0,479.0,455.0,38389.0
2020-07-15,469.0,435.0,456.0,461.0,35475.0
2020-07-22,485.0,421.0,461.0,436.5,141359.0
2020-07-29,490.0,425.0,436.5,466.5,106697.0
2020-08-05,476.0,443.0,467.0,459.0,72577.0
2020-08-12,459.0,395.5,459.0,420.0,57749.0
2020-08-19,432.0,350.0,415.0,366.0,198521.0
2020-08-26,376.0,344.0,370.0,363.0,103999.0
2020-09-02,400.0,324.5,365.0,383.5,92487.0
2020-09-09,439.0,356.5,411.0,368.0,195923.0
2020-09-16,374.0,317.0,360.0,354.5,81897.0
2020-09-23,359.5,325.0,356.0,349.5,41478.0
2020-09-30,363.0,335.0,344.0,345.0,80485.0
2020-10-07,373.0,337.0,350.0,360.0,101894.0
2020-10-14,425.0,358.0,359.0,420.5,116928.0
2020-10-21,437.5,355.0,425.0,358.0,89256.0
2020-10-28,437.0,336.0,355.0,410.5,85343.0
2020-11-04,448.5,403.0,430.0,435.0,84044.0
2020-11-11,465.0,410.0,439.0,438.5,126368.0
2020-11-18,459.0,415.0,438.5,416.5,22384.0
2020-11-24,440.0,420.0,420.5,430.0,26293.0
