Date,High,Low,Open,Close,Volume
2020-01-01,839.5,730.0,730.0,818.0,110113
2020-01-08,961.0,769.0,810.0,946.5,111912
2020-01-15,990.0,900.0,955.0,905.0,132408
2020-01-22,900.0,755.0,900.0,825.0,118262
2020-01-29,865.0,810.0,842.0,839.5,42469
2020-02-05,847.0,750.0,840.0,794.5,25018
2020-02-12,804.5,758.0,804.5,782.0,39096
2020-02-19,810.0,762.0,782.0,782.5,12983
2020-02-26,799.0,692.0,750.0,772.5,33988
2020-03-04,799.0,666.0,775.0,724.5,41278
2020-03-11,720.0,475.0,720.0,483.0,68861
2020-03-18,460.0,390.0,460.0,425.0,60318
2020-03-25,470.0,408.0,432.0,417.0,36330
2020-04-01,498.0,392.0,404.0,469.5,61300
2020-04-08,484.0,440.0,471.0,457.5,45817
2020-04-15,500.0,435.5,455.0,485.0,63854
2020-04-22,634.0,450.5,485.0,629.0,131738
2020-04-29,690.0,590.0,630.0,678.0,102564
2020-05-06,715.0,650.0,678.0,707.0,86014
2020-05-13,777.0,651.0,719.0,770.0,79950
2020-05-20,798.0,763.0,770.0,775.0,68307
2020-05-27,789.5,700.0,775.0,772.0,78310
2020-06-03,885.0,772.0,772.0,816.0,128635
2020-06-10,857.0,765.0,816.0,829.0,46313
2020-06-17,886.0,730.0,839.0,872.0,85623
2020-06-24,958.0,865.0,875.0,915.0,137630
2020-07-01,970.0,905.0,920.0,917.0,101459
2020-07-08,945.0,836.5,918.0,888.0,90515
2020-07-15,939.5,885.0,900.0,921.5,58898
2020-07-22,1050.0,908.5,930.0,1046.0,130365
2020-07-29,1195.0,1015.0,1050.0,1135.0,96450
2020-08-05,1179.0,1080.0,1148.0,1116.0,77273
2020-08-12,1149.5,1065.0,1130.0,1087.0,50343
2020-08-19,1139.5,1021.0,1070.0,1112.0,42554
2020-08-26,1249.0,1055.0,1110.0,1236.0,87337
2020-09-02,1248.0,1152.0,1240.0,1165.0,62922
2020-09-09,1236.0,1153.0,1160.0,1192.0,62610
2020-09-16,1180.0,1030.0,1180.0,1122.0,81314
2020-09-23,1199.5,1073.0,1122.0,1158.0,23366
2020-09-30,1185.0,1091.0,1159.0,1115.0,46828
2020-10-07,1125.0,1020.0,1110.0,1050.0,101587
2020-10-14,1210.0,1027.0,1059.5,1207.5,90628
2020-10-21,1340.0,1165.0,1210.0,1205.0,159294
2020-10-28,1299.0,1116.0,1180.0,1272.0,72975
2020-11-04,1330.0,1215.0,1275.0,1268.0,37219
2020-11-11,1335.0,1245.0,1280.0,1296.5,47094
2020-11-18,1310.0,1250.0,1282.0,1293.5,20274
2020-11-24,1318.0,1280.0,1300.0,1288.0,8842
