Date,High,Low,Open,Close,Volume
2020-01-01,172.0,161.0,170.8000030517578,168.14999389648438,300824
2020-01-08,185.0,165.5,165.5,184.1999969482422,183355
2020-01-15,199.75,175.0,184.1999969482422,192.75,193091
2020-01-22,198.0,182.0,197.0,191.0,188357
2020-01-29,200.5,187.5500030517578,191.0,196.0,331958
2020-02-05,204.0,188.0,196.0,193.75,104474
2020-02-12,203.5,183.60000610351562,194.0,190.60000610351562,124918
2020-02-19,196.0,188.0,189.0,192.9499969482422,52894
2020-02-26,197.0,180.0,187.0,187.10000610351562,240436
2020-03-04,203.6999969482422,178.0,191.5,203.6999969482422,220084
2020-03-11,218.5500030517578,155.0,202.0,159.5500030517578,258298
2020-03-18,158.0,132.0,154.0,143.60000610351562,146371
2020-03-25,174.9499969482422,138.0,152.0,157.0,149292
2020-04-01,165.0,150.0,151.0,157.1999969482422,431022
2020-04-08,179.0,150.0,154.60000610351562,175.9499969482422,248610
2020-04-15,182.25,156.5,177.35000610351562,167.0,404388
2020-04-22,171.8000030517578,148.39999389648438,164.5,169.5,460436
2020-04-29,174.0,153.5,173.5,161.1999969482422,380857
2020-05-06,191.5,159.39999389648438,163.0,181.6999969482422,887008
2020-05-13,199.39999389648438,177.0,184.0,185.6999969482422,921621
2020-05-20,197.0,182.5500030517578,185.6999969482422,189.9499969482422,423325
2020-05-27,195.75,169.75,191.0,195.0,538583
2020-06-03,265.0,197.5,197.5,244.8000030517578,649706
2020-06-10,249.0,212.0,244.0,217.1999969482422,480310
2020-06-17,219.0,193.5,216.0,199.0,539836
2020-06-24,212.0,185.0,200.0,189.25,361375
2020-07-01,215.0,189.0,189.5,207.4499969482422,300179
2020-07-08,210.5,200.10000610351562,207.0,207.0,185277
2020-07-15,231.5,207.10000610351562,207.10000610351562,227.5500030517578,467863
2020-07-22,245.1999969482422,218.5,231.89999389648438,228.0,605000
2020-07-29,244.5,216.3000030517578,235.0,225.64999389648438,632339
2020-08-05,233.0,210.25,227.10000610351562,215.0500030517578,467068
2020-08-12,216.60000610351562,201.0,216.0,204.9499969482422,311702
2020-08-19,209.8000030517578,175.0,203.0,188.10000610351562,677254
2020-08-26,190.0,170.10000610351562,188.10000610351562,178.89999389648438,571068
2020-09-02,181.60000610351562,160.0,181.0,166.5500030517578,208820
2020-09-09,197.0,166.5500030517578,166.5500030517578,196.14999389648438,533771
2020-09-16,197.39999389648438,181.14999389648438,195.5,195.3000030517578,445199
2020-09-23,199.75,186.5,193.35000610351562,188.3000030517578,248263
2020-09-30,213.8000030517578,180.1999969482422,188.3000030517578,211.3000030517578,314991
2020-10-07,232.0,206.0,212.0,231.5500030517578,296604
2020-10-14,260.0,219.0,226.6999969482422,256.95001220703125,540706
2020-10-21,272.54998779296875,220.0,256.8999938964844,222.35000610351562,425373
2020-10-28,237.0,196.0,220.0,204.9499969482422,345948
2020-11-04,226.0,199.0,209.0500030517578,225.5,219071
2020-11-11,230.0,198.0,226.0,201.14999389648438,574053
2020-11-18,217.9499969482422,202.10000610351562,205.0,215.8000030517578,211816
2020-11-24,233.75,216.0,216.0,231.5,113661
